CONC,Limite
SOBRAL DE MONTE AGRACO,Sim
SOURE,Sim
SOUSEL,Não
TABUA,Não
TABUACO,Sim
TAROUCA,Sim
TAVIRA,Não
TERRAS DE BOURO,Não
TOMAR,Não
TONDELA,Não
TORRE DE MONCORVO,Não
TORRES NOVAS,Sim
TORRES VEDRAS,Não
TRANCOSO,Sim
TROFA,Não
VAGOS,Não
VALE DE CAMBRA,Sim
VALENCA,Não
VALONGO,Sim
VALPACOS,Não
VELAS,Sim
VENDAS NOVAS,Não
VIANA DO ALENTEJO,Não
VIANA DO CASTELO,Não
VIDIGUEIRA,Não
VIEIRA DO MINHO,Não
VILA DA PRAIA DA VITORIA,Não
VILA DE REI,Não
VILA DO BISPO,Não
VILA DO CONDE,Não
VILA DO PORTO,Não
VILA FLOR,Não
VILA FRANCA DE XIRA,Não
VILA FRANCA DO CAMPO,Não
VILA NOVA DA BARQUINHA,Sim
VILA NOVA DE CERVEIRA,Não
VILA NOVA DE FAMALICAO,Não
VILA NOVA DE FOZ COA,Não
VILA NOVA DE GAIA,Sim
VILA NOVA DE PAIVA,Não
VILA NOVA DE POIARES,Sim
VILA POUCA DE AGUIAR,Não
VILA REAL,Não
VILA REAL DE SANTO ANTONIO,Não
VILA VELHA DE RODAO,Sim
VILA VERDE,Não
VILA VICOSA,Não
VIMIOSO,Não
VINHAIS,Não
VISEU,Não
VIZELA,Não
VOUZELA,Não
