Concelho,PPD/PSD.CDS-PP.PPM,PS,CH,IL,B.E.,PCP-PEV,L
CANTANHEDE,37.83,24.51,19.43,4,3.79,1.33,1.87
CARRAZEDA DE ANSIAES,40.98,26.33,19.76,1.51,2.07,0.89,0.89
CARREGAL DO SAL,35.19,27.03,20.33,2.37,3.2,1.17,1.32
CARTAXO,23.22,30.07,23.89,3.61,5.03,4.14,3.2
CASCAIS,33.97,22.69,16.49,7.59,4.28,2.48,4.95
CASTANHEIRA DE PERA,26.95,45.73,14.01,1.13,2.51,1.63,1.44
CASTELO BRANCO,27.88,29.47,24.24,3.52,4.24,1.86,2.4
CASTELO DE PAIVA,36.63,34.78,14.01,1.13,2.51,1.63,1.44
CASTELO DE VIDE,28.98,36.23,17.26,1.16,4.31,3.04,1.44
CASTRO DAIRE,38.06,25.75,22.49,1.86,2.19,1.3,0.91
CASTRO MARIM,20.61,30.68,29.25,2.46,4.73,2.6,2.04
CASTRO VERDE,13.69,32.16,18.65,3.14,6.67,17.13,2.41
CELORICO DA BEIRA,37.06,29.71,20.25,1.39,1.83,1.01,1.01
CELORICO DE BASTO,40.31,28.45,14.81,3.13,2.74,0.91,1.31
CHAMUSCA,19.79,34.4,23.65,2.43,4.09,8.42,1.61
CHAVES,35.83,28.87,20.8,1.92,2.54,1.41,1.47
CINFAES,32.89,36.43,16.11,1.98,1.96,1.11,0.96
COIMBRA,30.35,33.83,11.35,4.69,6.32,3.69,3.97
CONDEIXA-A-NOVA,25.56,33.31,16.23,5.22,6.51,3.02,3.15
CONSTANCIA,17,31.63,27.76,3.24,3.91,7.19,1.91
CORUCHE,20.43,34.08,23.16,2.44,3.59,9.8,1.55
CORVO,41.73,40.6,7.98,0.75,3.38,1.5,0.38
COVILHA,23.03,43,14.15,2.61,5.31,3.58,2.32
CRATO,23.2,37.98,22.32,1.13,3.77,5.92,1.47
CUBA,20,32.88,20.59,1.73,3.16,14.39,1.69
ELVAS,19.27,30.49,36.56,1.92,2.76,2.11,1.57
ENTRONCAMENTO,23.65,29.36,24.95,4.47,5.48,2.83,3.12
ESPINHO,33.19,32.96,12.74,5.05,3.89,2.79,2.39
ESPOSENDE,40.71,19.15,18.11,6.65,3.37,1.32,2.42
ESTARREJA,32.8,27.71,19.68,4.78,3.79,2.31,1.74
ESTREMOZ,25.42,31.63,23.93,1.72,3.85,6.85,1.3
EVORA,25.253,31.26,19.17,3.23,4.87,7.92,2.59
FAFE,29.9,33.15,18.28,4,3.23,1.82,1.6
FARO,24.47,27.37,21.5,5.35,6.29,3.25,3.8
FELGUEIRAS,31.61,30.57,19.31,4.27,2.97,1.32,1.87
FERREIRA DO ALENTEJO,13.6,35.57,22.07,2.2,5.1,13.34,1.97
FERREIRA DO ZEZERE,36.1,24.65,21.39,3.48,3.04,1.38,1.48
FIGUEIRA DA FOZ,27.67,31.26,18.69,3.88,5.37,3.24,2.91
FIGUEIRA DE CASTELO RODRIGO,39.1,31.7,18.99,1.15,1.61,0.72,1.05
FIGUEIRO DOS VINHOS,39.9,27.42,17.16,2.31,2.77,1.2,1.57
FORNOS DE ALGODRES,35,35.94,17.48,1.37,1.87,0.83,0.83
FREIXO DE ESPADA A CINTA,32.45,36.79,21.23,0.97,1.93,0.54,0.54
FRONTEIRA,29.73,32.25,22.59,1.25,2.73,4.36,1.04
FUNCHAL,33.61,21.97,16.81,4.93,3.49,2.22,1.45
FUNDAO,26.98,34.59,20.47,2.95,4.29,1.64,1.97
GAVIAO,16.02,47.4,19.31,1.53,3.39,5.91,1.1
GOIS,33.57,36.28,13.79,2.25,4.1,1.8,0.99
GOLEGA,22.98,31.45,23.8,2.58,4.53,5.73,2.24
GONDOMAR,25.35,32.28,16.02,5.51,5.61,3.7,3.18
GOUVEIA,32.24,34.47,16.03,1.52,2.86,1.56,1.58
GRANDOLA,16.05,31.63,19.52,3.53,6.44,12.56,2.74
GUARDA,32.06,31.47,19.55,3.05,3.42,1.44,1.81
GUIMARAES,29.3,31.69,15.95,6.36,4.36,2.59,2.34
HORTA,42.99,29.05,10.35,2.29,4.16,2.6,2.25
IDANHA-A-NOVA,23.62,39.04,22.27,1.48,2.69,2.35,1.14
ILHAVO,33.01,23.19,20.86,6.014,4.96,1.11,3.13
LAGOA (ACORES),32.64,31.91,20.86,2.74,2.92,0.51,1.7
LAGOA (FARO),20.86,23.74,32.14,4.87,5.45,2.86,2.29
LAGOS,21.06,25.84,24.5,4.81,6.84,3.76,3.77
LAJES DAS FLORES,34.66,34.79,13.15,2.05,4.38,2.05,1.78
LAJES DO PICO,41.72,36.54,9.43,1.22,2.3,1.48,1.13
LAMEGO,35.52,30.69,18.75,2.5,2.45,2.06,1.36
LEIRIA,38.69,19.52,18.38,6.84,4.3,1.46,2.92
LISBOA,32.22,26.19,11.73,7.45,5.14,3.53,7.68
LOULE,25.51,23.8,27.58,4.81,4.74,1.98,2.33
LOURES,21.29,31.85,19.14,5.66,4.63,5.45,4.25
LOURINHA,32,20.83,25.25,4.46,3.68,1.75,2.62
LOUSA,26.88,34.54,15.88,3.49,6.54,1.88,3.07
LOUSADA,30.3,31.37,19.07,4.11,3.3,1.42,2.28
MACAO,32.86,29.67,18.57,2.71,3.82,2.56,1.76
MACEDO DE CAVALEIROS,40.36,31.16,16.17,1.41,2.14,1.09,1.12
MACHICO,29.37,31.91,16.56,3.16,2.32,0.93,0.92
MADALENA,45.56,28.61,11.27,2.12,2.88,1.16,0.96
MAFRA,29.27,23,19.49,7.39,4.63,2.22,4.84
MAIA,31.32,28.56,14.07,7.28,4.94,3.87,2.09
MANGUALDE,31.67,30.64,21.78,2.28,2.12,1.48,1.71
MANTEIGAS,25.26,39.41,17.95,2.47,4.55,3.11,1.55
MARCO DE CANAVESES,32.91,31.28,16.02,4.08,3.26,1.24,2.12
MARINHA GRANDE,19.43,29.84,20.05,5.64,6.4,7.8,3.32
MARVAO,31.77,35.05,17.07,1.88,2.79,1.82,1.88
MATOSINHOS,28.44,32.55,13.61,6.55,5.11,2.59,4.03
MEALHADA,26.53,34.08,16.51,4.76,5.82,2.33,2.53
MEDA,40.9,28.03,16.1,1.52,1.6,1.23,1.05
MELGACO,31.86,38.04,15.18,2.27,2.3,0.87,1.28
MERTOLA,13.91,36.2,15.29,1.3,4.14,21,1.21
MESAO FRIO,32.97,36.61,16.12,2.21,2.8,1.23,0.98
MIRA,37.01,26.71,18.78,3.79,3.71,1,1.74
MIRANDA DO CORVO,26.49,39.88,14.55,3.15,4.47,2.68,1.91
MIRANDA DO DOURO,43.08,30.32,13.59,1.45,2.17,0.4,1.15
MIRANDELA,38.72,25.68,22.58,1.99,2.12,1.75,0.98
MOGADOURO,44.52,24.33,21.7,0.85,1.26,0.64,0.72
MOIMENTA DA BEIRA,35.55,29.07,20.72,2.1,1.82,1.38,1.05
MOITA,10.64,33.82,22.8,3.88,6.54,11.22,3.29
MONCAO,38.45,26.15,19.71,3.24,2.6,1,1.43
MONCHIQUE,25.69,34.34,16.87,2.55,5.06,4.19,2.25
MONDIM DE BASTO,44.2,27.46,15.51,1.42,2.31,1.72,1.3
MONFORTE,19.98,34.05,28.92,1.28,2.44,7.93,1.28
MONTALEGRE,39.32,36.47,13.32,1.35,1.93,0.79,0.96
MONTEMOR-O-NOVO,20.54,32.85,14.86,2.41,3.86,18.6,2.13
MONTEMOR-O-VELHO,26.62,32.53,20.72,4.2,4.54,2.75,2.06
MONTIJO,20.79,29.95,24.8,6.5,5.33,4.4,3.67
MORA,18.04,32.28,14.57,1.72,3.11,22.95,1.47
MORTAGUA,35.32,28.61,14.33,2.97,4.73,1.22,1.5
MOURA,13.97,32.56,30.45,1.57,2.54,12.58,1.09
MOURAO,26.04,31.68,29.77,0.088,1.83,5.12,0.95
MURCA,41.71,27.81,18.53,1.61,1.77,0.82,0.73
MURTOSA,41.39,19.31,21.75,4.28,3.41,1.04,1.62
NAZARE,25.15,29.92,19.86,4.04,6.37,4.98,2.69
NELAS,31.77,30.02,20.99,2.81,3.43,1.73,1.59
NISA,23.56,38.51,19.61,1.18,2.69,6.98,1.09
NORDESTE,42.06,31.77,13.57,1.43,2.06,0.51,1.22
OBIDOS,32.32,26.13,19.88,5.38,4,2.61,2.49
ODEMIRA,17.35,30.4,21.93,3.27,5.95,9.86,2.77
ODIVELAS,22.84,30.63,20,6.29,4.45,3.39,4.58
OEIRAS,32.84,26.14,11.61,7.92,4.61,3.06,6.75
OLEIROS,48.57,23.13,15.5,1.7,1.7,0.6,1.03
OLHAO,18.82,26.68,29.33,4.29,6.18,3.09,2.37
OLIVEIRA DE AZEMEIS,33.17,31.26,16.62,4.84,3.92,0.91,1.99
OLIVEIRA DE FRADES,40.9,22.29,22.18,2.4,2.23,1.18,1.66
OLIVEIRA DO BAIRRO,45.38,15.04,22.44,5.36,2.7,0.81,1.24
OLIVEIRA DO HOSPITAL,35.38,31.93,16.65,2.42,2.95,1.82,1.64
OUREM,45.57,13.59,23.42,4.36,2.49,0.94,2
OURIQUE,30,34.84,15.46,1.43,2.96,7.14,1.25
OVAR,29.89,31.93,14.94,5.47,5.84,1.99,2.61
PACOS DE FERREIRA,34.86,25.84,19.35,4.87,3.25,1.8,1.87
PALMELA,17.34,27.25,23.78,5.78,6.38,6.44,4.48
PAMPILHOSA DA SERRA,34.65,39.06,14.76,1.49,1.9,1.69,0.92
PAREDES,33.51,27.58,18.65,4.42,3.37,1.45,1.98
PAREDES DE COURA,28.82,34.39,18.36,2.78,3.41,1.96,1.81
PEDROGAO GRANDE,41.42,47.07,16.95,2.71,3.29,1.04,0.83
PENACOVA,33.67,35.89,14.46,2.93,2.59,2.4,1.67
PENAFIEL,31.41,31.09,16.53,3.81,3.47,1.48,1.82
PENALVA DO CASTELO,35.79,32.24,17.06,2.06,2.13,1.42,1.24
PENAMACOR,25.97,34.76,23.95,1.23,3.88,1.27,0.91
PENEDONO,37.55,26.08,21.45,2.02,1.93,1.63,1.3
PENELA,35.36,31.17,16,3.16,3.68,1.03,1.89
PENICHE,24.75,27.63,23.64,4.78,4.23,4.34,2.77
PESO DA REGUA,33.05,34.83,17.64,2.44,2.86,2,1.2
PINHEL,41.11,25.98,17.81,2.12,2.59,1.42,1.01
POMBAL,40.6,18.28,20.72,5.22,3.38,1.22,2
PONTA DELGADA,38.75,25.5,18.39,3.57,4.13,1.07,2.29
PONTA DO SOL,46.84,18.83,15.79,2.68,1.59,0.29,1.24
PONTE DA BARCA,38.81,31.64,15.35,2.29,2.02,1.25,1.88
PONTE DE LIMA,42.83,21.44,19.17,3.7,2.52,1.62,1.57
PONTE DE SOR,17.76,35.88,23.51,2.31,3.8,8.73,1.6
PORTALEGRE,32.31,32.5,19.88,2.35,3.16,2.65,1.55
PORTEL,11.24,37.29,18.4,1.79,3.55,21.86,1.31
PORTIMAO,21.49,23.04,30.53,5.05,6.1,2.52,2.92
PORTO,34.25,28.33,9.99,6.79,5.68,3.38,5.59
PORTO DE MOS,35.84,20.46,23.01,5.67,3.66,1.51,2.17
PORTO MONIZ,46.39,28.11,12.1,1.25,1.42,0.85,1.08
PORTO SANTO,36.79,25.2,21.23,2.27,2.49,0.88,1.274
POVOA DE LANHOSO,34.15,33,16.76,4.09,2.41,0.75,1.37
POVOA DE VARZIM,38.86,21.4,18.76,5.72,3.69,1.5,2.79
POVOACAO,35.68,32.38,19.36,1.45,3.15,0.25,1.27
PROENCA-A-NOVA,41.18,29.36,15.23,2.49,2.38,0.96,1.36
REDONDO,21.56,35.36,19.13,2.26,4.98,9.84,1.77
REGUENGOS DE MONSARAZ,24.51,33.78,24.69,1.96,3.75,5.3,1.38
RESENDE,38.73,35.23,13.1,1.55,2.27,1.18,0.89
RIBEIRA BRAVA,42.02,15.89,20.32,3.02,2.04,1.21,0.69
RIBEIRA DE PENA,41.13,38.21,10.92,1.07,2.06,0.75,0.86
RIBEIRA GRANDE,37.15,25.57,21.87,2.5,3.92,0.94,1.41
RIO MAIOR,35.45,23.5,23.26,3.72,2.95,1.87,2.45
SABROSA,36.42,31.89,18.06,1.98,2.06,1.67,1.25
SABUGAL,31.01,29.97,23.59,2.21,2.78,1.11,0.99
SALVATERRA DE MAGOS,19.03,28.4,29.21,3.89,5.72,4.72,2.42
SANTA COMBA DAO,36.75,28.45,17.55,2.51,2.91,0.98,1.99
SANTA CRUZ,25.86,15.51,17.57,3.87,3.15,1.31,1.27
SANTA CRUZ DA GRACIOSA,44.03,36.6,9.04,1.2,1.66,0.35,0.85
SANTA CRUZ DAS FLORES,31.42,38.83,14.82,1.98,2.71,3.44,1.04
SANTA MARIA DA FEIRA,32.65,30.65,16.46,5.48,4.28,1.28,2.12
SANTA MARTA DE PENAGUIAO,33.38,39.48,15.58,1.49,2.5,1.32,0.61
SANTANA,43.91,17.64,14.97,2.65,2.79,1.18,1.15
SANTAREM,29.67,28.44,20.63,4.21,4.26,3.82,2.83
SANTIAGO DO CACEM,18.71,30.42,18.17,4.29,6.31,10.43,3.17
SANTO TIRSO,28.85,33.84,15.2,4.97,4.47,2.09,2.5
SAO BRAS DE ALPORTEL,24.04,25.93,24.51,4.47,5.74,2.29,3.08
SAO JOAO DA MADEIRA,29.31,37.39,12.94,5.52,4.47,1.77,2.67
SAO JOAO DA PESQUEIRA,33.92,27.27,20.52,2.33,2.63,1.54,1.09
SAO PEDRO DO SUL,33.62,30.51,19.57,2.49,2.64,1.62,1.48
SAO ROQUE DO PICO,44.2,30.38,11.06,1.91,2.69,0.42,1.79
SAO VICENTE,43.69,17.59,18.65,2.93,2.08,0.88,0.71
SARDOAL,30.29,30.92,19.27,2.26,4.48,3.14,2.68
SATAO,39.58,21.31,22.8,2.44,2.31,1.13,1.36
SEIA,29.94,35.62,17.12,2.19,2.8,2.71,1.69
SEIXAL,16.85,31.82,20.43,5.76,5.49,7.43,4.19
SERNANCELHE,60.11,15.52,14.32,0.98,1.12,0.59,0.45
SERPA,14.55,29.63,18.97,1.66,3.35,14.55,1.57
SERTA,40.95,25.65,18.23,2.17,2.57,0.81,1.48
SESIMBRA,17.06,28.18,25.03,5.8,5.62,5.96,4.27
SETUBAL,18.74,29.91,20.79,5.59,6.47,6.49,4.25
SEVER DO VOUGA,46.97,18.86,19.39,3.49,2.49,0.94,1.86
SILVES,19.37,23.87,29.97,3.89,5.66,5.96,2.29
SINES,16.22,30.41,20.23,4.56,7.92,8.08,3.47
SINTRA,22.45,28.75,21.16,5.92,5.41,3.34,4.6
SOBRAL DE MONTE AGRACO,22.54,25.22,22.59,5.63,4.72,6.93,3.84
SOURE,24.28,38.26,17.74,3.59,4.4,2.77,2.32
SOUSEL,26.59,30.98,24.49,1.64,2.82,7.63,0.95
TABUA,34.43,32.16,17.83,2.36,2.84,2.11,1.27
TABUACO,37.57,26.32,22.44,2.35,2.03,1.21,1.21
TAROUCA,35.44,25.54,22.52,1.87,3.15,2.1,0.93
TAVIRA,23.78,28.98,22.62,3.77,6.18,2.52,2.73
TERRAS DE BOURO,41.11,23.21,20.35,3.12,2.13,1.94,0.97
TOMAR,28.63,29.82,20.67,3.44,4.54,2.54,2.8
TONDELA,37.3,26.19,18.44,2.85,3.04,1.56,1.69
TORRE DE MONCORVO,41.09,31.72,16.9,1.05,1.51,1.32,1.01
TORRES NOVAS,23.91,31.45,20.21,3.93,6.55,4.38,2.5
TORRES VEDRAS,28.6,24.44,20.27,5.72,4.99,3.32,3.74
TRANCOSO,37.47,31.26,17.94,1.49,2.43,1.04,0.84
TROFA,34.57,27.4,18.48,4.9,3.46,1.48,2.04
VAGOS,49.05,12.92,22.06,4.32,2.39,0.7,1.74
VALE DE CAMBRA,39.99,24.7,17.31,5.05,3.37,0.77,1.55
VALENCA,30,26.47,29.56,2.71,2.34,1.15,1.31
VALONGO,25.36,31.82,17.3,5.83,5.02,2.74,3.17
VALPACOS,52.72,18.95,16.49,1.26,1.26,0.75,0.81
VELAS,48.589,27.9,10.06,1.71,2.46,1.95,1.11
VENDAS NOVAS,23.45,30.37,20.78,2.83,3.44,11.5,2.14
VIANA DO ALENTEJO,16.44,28.31,26.65,2.05,5.84,15.63,1.67
VIANA DO CASTELO,30.49,29.61,17.62,4.33,4.63,3.37,2.58
VIDIGUEIRA,13.22,34.71,23.46,1.52,4.01,14.81,1.52
VIEIRA DO MINHO,39.68,29.21,16.73,2.94,2.31,1.23,1.08
VILA DA PRAIA DA VITORIA,41.29,31.36,13.95,2.85,2.47,0.86,1.33
VILA DE REI,44.86,18.03,19.66,2.56,2.36,1.62,1.82
VILA DO BISPO,21.81,28.63,22.6,3.55,7.63,3.67,2.36
VILA DO CONDE,30.67,29.64,17.81,6.03,4.05,1.73,2.88
VILA DO PORTO,34.6,33.71,12.55,2.91,5.24,1.34,2.38
VILA FLOR,38.19,30.31,20.47,1.4,1.62,1.24,0.76
VILA FRANCA DE XIRA,18.36,30.85,20.1,5.98,5.68,6.33,4.63
VILA FRANCA DO CAMPO,36.8,27.16,23.89,1.97,2.55,0.58,1.19
VILA NOVA DA BARQUINHA,19.04,31.69,27.3,3.84,4.93,4.26,2.24
VILA NOVA DE CERVEIRA,26.92,30.69,25.22,2.9,3.64,1.16,1.76
VILA NOVA DE FAMALICAO,33.79,29.84,16.38,5.53,3.63,1.5,1.99
VILA NOVA DE FOZ COA,34.32,34.01,18.29,1.91,1.66,2.05,0.73
VILA NOVA DE GAIA,27.42,31.42,15.04,6.52,5.36,2.62,3.74
VILA NOVA DE PAIVA,44.6,20.58,18.8,2.91,1.24,1.28,1.03
VILA NOVA DE POIARES,33.66,28.71,19.16,3.14,3.62,2.47,1.85
VILA POUCA DE AGUIAR,41.87,30.69,14.17,1.77,1.82,1.56,0.9
VILA REAL,37.88,28.32,17.37,2.89,3.14,1.54,2.08
VILA REAL DE SANTO ANTONIO,17.63,30.75,27.28,2.56,5.54,6.02,1.98
VILA VELHA DE RODAO,22.13,43.72,19.2,1.74,3.59,2.94,1.36
VILA VERDE,38.33,21.42,20.98,5.66,2.59,1.03,1.61
VILA VICOSA,24.31,33.16,23.79,2.03,3.35,7.53,1.44
VIMIOSO,45.43,31.1,12.88,0.84,1.46,0.44,0.35
VINHAIS,37.89,35.94,15.11,1.32,1.45,0.62,0.64
VISEU,35.6,25.65,19.73,3.96,3.43,1.17,2.53
VIZELA,23.12,38.3,16.57,6.37,4.57,1.65,2.1
VOUZELA,38.37,28.09,19.63,2.39,1.85,1.03,1.45
