Concelho,PPD/PSD.CDS-PP.PPM,PS,CH,IL,B.E.,PCP-PEV,L
ABRANTES,21.25,32.26,24.38,3.14,5.61,4.09,2.44
AGUEDA,35.27,27.73,19.63,4.57,3.35,1.31,1.62
AGUIAR DA BEIRA,46.23,23.85,16.34,2.92,1.2,0.46,0.62
ALANDROAL,13.53,39.63,23.49,1.59,3.71,13.53,1.02
ALBERGARIA-A-VELHA,37.31,23.44,21.41,4.09,3.19,1.02,1.98
ALBUFEIRA,23.85,20.76,32.61,4.89,4.8,2.33,2.32
ALCACER DO SAL,12.71,37.32,16.36,2.52,5.09,16.81,1.96
ALCANENA,30.43,27.4,20.63,4.33,3.9,4.42,1.85
ALCOBACA,36.46,23.05,19.25,5.77,3.8,2.04,2.34
ALCOCHETE,22.53,26.79,20.35,7.37,4.13,5.94,4.75
ALCOUTIM,30.96,37.59,14.27,1.93,2.64,3.78,1.57
ALENQUER,21.56,28.68,22.94,5.11,4.75,5.48,3.48
ALFANDEGA DA FE,37.25,34.42,17.67,1.09,1.3,1.06,1.26
ALIJO,36.22,32.92,17.7,1.83,2.52,1.1,0.96
ALJEZUR,20.27,27.9,21.3,4.77,7.67,5.15,3.13
ALJUSTREL,8.55,34.35,20.99,1.44,4.65,22.62,1.27
ALMADA,19.34,32.05,16.84,5.67,6.02,6.97,5.32
ALMEIDA,34.05,31.98,19.06,2.33,2.42,1.96,0.8
ALMEIRIM,20.22,32.98,25.77,3.86,4.21,4.36,2.24
ALMODOVAR,22.66,34.32,22.97,1.96,3.6,5.48,1.36
ALPIARCA,15.41,31.39,20.11,3.47,4.97,16.68,2.07
ALTER DO CHAO,24.94,33.35,24.89,1.84,2.9,6.74,0.72
ALVAIAZERE,50.56,16.75,20.85,1.98,1.6,0.84,1.14
ALVITO,17.19,28.55,24.82,0.97,6.81,13.06,1.54
AMADORA,21.4,33.94,17.07,5.46,5.4,4.27,4.86
AMARANTE,33.6,34.5,13.4,3.38,3.77,1.36,2.25
AMARES,34.53,24.88,21.39,5.64,2.86,1.11,1.89
ANADIA,40.97,22.72,17.72,4.47,3.16,1.28,1.87
ANGRA DO HEROISMO,41.58,32.78,11.51,2.9,3.19,1,1.56
ANSIAO,43.27,23.1,17.67,3.32,2.74,1.17,1.93
ARCOS DE VALDEVEZ,42.98,27.74,15.04,2.46,2.29,0.9,1.22
ARGANIL,33.57,34.91,14.94,2.31,3.56,1.87,2
ARMAMAR,40.49,22.46,21.25,2.53,2.01,2.99,1.01
AROUCA,44.08,24.52,16.38,3.25,2.32,0.97,1.32
ARRAIOLOS,16.79,33.49,15.29,2.4,4.94,19.87,2.07
ARRONCHES,30.43,30.61,25.03,1.41,2.76,3.68,1.04
ARRUDA DOS VINHOS,27.3,27.1,19.14,7.65,3.97,3.28,3.98
AVEIRO,34.94,25.19,16.32,6.44,5.17,1.47,3.7
AVIS,14.38,32.02,16.89,1.36,1.79,26.8,1.15
AZAMBUJA,18.98,30.1,23.37,4.05,5.7,5.69,4.09
BAIAO,30.54,38.07,15.93,2.11,2.46,0.98,1.47
BARCELOS,38.61,22.97,18.6,5.21,3.36,1.21,1.97
BARRANCOS,15.691,30.53,22.77,2.07,2.98,18.5,0.78
BARREIRO,12.71,37.36,17.25,3.99,6.13,10.9,4.31
BATALHA,42.61,15.92,21.29,6.24,3.2,1.22,2.14
BEJA,20,29.26,21.1,2.62,4.37,20,1.81
BELMONTE,22.84,39.39,19.73,1.6,3.88,3.2,1.37
BENAVENTE,22.13,24.01,29.98,4.5,4.31,6.18,2.9
BOMBARRAL,30.05,27.73,20.18,4.46,4.5,3.57,2.35
BORBA,18.54,42.0155,20.72,1.72,4.38,6.94,1.43
BOTICAS,58.08,19.96,11.79,0.63,1.1,1.23,0.58
BRAGA,30.11,27.63,15.1,8.52,4.95,2.5,3.62
BRAGANCA,39.8,29.94,16.79,2.54,2.24,1,1.23
CABECEIRAS DE BASTO,36.6,33.99,14.66,2.96,2.81,0.8,1.32
CADAVAL,29.47,28.88,21.46,3.61,3.75,2.26,2.61
CALDAS DA RAINHA,33.77,23.44,18.9,5.57,5.35,2.13,3.36
CALHETA (ACORES),51.94,25.41,9.29,1.76,1.82,1.29,1.12
CALHETA (MADEIRA),54.97,11.7,15.67,2.36,1.84,0.94,0.63
CAMARA DE LOBOS,40.59,14.85,21.07,3.03,2.71,1.55,1.27
CAMINHA,30,61.64,18.23,3.67,4.12,2.65,2.24
CAMPO MAIOR,13,36.54,26.55,2.15,3.7,10.52,1.82
