Concelho;A;ADN;B.E.;CDS-PP;CH;E;EMBRANCO;IL;JPP;L;MAS;MPT;NC;NULOS;PAN;PCP-PEV;PCTP/MRPP;PPD/PSD;PPD/PSD.CDS-PP;PPD/PSD.CDS-PP.PPM;PPM;PS;PTP;R.I.R.;VP
CONDEIXA-A-NOVA;0.24;;5.0;0.7;8.68;0.07;1.82;3.02;;0.95;0.09;0.09;;0.94;1.45;3.44;0.19;23.73;;;;49.2;;0.29;0.1
CONSTANCIA;;;3.56;2.22;14.78;0.19;1.36;3.28;;1.03;0.17;0.25;;0.88;1.49;9.89;;16.24;;;;44.43;0.09;0.16;0.0
CORUCHE;;;2.26;1.38;10.08;0.14;0.86;1.8;;0.39;0.24;0.03;;0.7;0.58;11.83;;19.77;;;;49.33;0.08;0.36;0.16
CORVO;;0.43;2.59;;3.88;0.0;0.43;0.43;;0.86;0.0;0.0;;0.0;0.43;5.17;0.0;;;30.6;;54.74;;0.43;0.0
COVILHA;;0.16;4.54;1.85;5.99;0.04;0.93;2.08;;0.6;0.06;0.14;0.11;1.29;0.96;3.76;0.4;19.56;;;;57.17;0.04;0.33;
CRATO;;;2.73;0.8;8.51;0.02;0.7;1.59;;0.5;0.06;0.02;;0.48;0.38;6.8;0.34;24.5;;;;52.53;0.0;0.0;0.04
CUBA;;;2.21;0.64;9.09;0.02;1.85;0.62;;0.29;0.0;0.1;;0.85;0.52;28.81;1.01;10.0;;;;43.65;0.02;0.22;0.11
ELVAS;;;2.74;1.79;20.15;0.1;1.2;2.18;;0.36;0.08;0.06;;1.04;0.67;4.06;0.49;16.21;;;;48.63;0.01;0.21;0.02
ENTRONCAMENTO;;;6.19;1.51;12.93;0.18;1.21;4.9;;1.1;0.17;0.19;;0.64;1.34;4.7;;22.87;;;;41.6;0.05;0.34;0.07
ESPINHO;;0.19;4.43;1.6;3.96;0.03;1.02;4.1;0.08;0.75;0.09;0.14;;0.9;1.34;3.52;0.56;30.34;;;;46.46;;0.36;0.14
ESPOSENDE;0.02;;3.29;3.38;6.63;0.14;1.45;4.05;0.09;0.78;0.11;0.12;;0.99;1.05;1.93;;43.95;;;;31.34;0.18;0.38;0.13
ESTARREJA;;0.12;3.85;2.33;6.53;0.06;1.46;3.25;0.08;0.7;0.11;0.11;;1.1;1.03;2.63;0.53;34.72;;;;40.77;;0.5;0.12
ESTREMOZ;;;3.31;0.89;10.53;0.01;0.97;1.61;;0.32;0.01;0.09;;0.65;0.61;10.13;;20.26;;;;50.15;0.02;0.29;0.16
EVORA;;;3.07;1.19;8.34;0.09;1.07;2.53;;0.5;0.18;0.1;;0.56;1.09;15.54;;18.87;;;;46.3;0.05;0.44;0.08
FAFE;0.04;;2.66;1.26;6.29;0.16;1.07;2.37;0.12;0.43;0.11;0.07;;0.9;0.87;2.3;;31.21;;;;49.32;0.19;0.56;0.08
FARO;;0.62;5.86;0.95;10.94;0.07;1.27;4.66;;1.23;0.12;0.25;;0.77;2.1;5.7;;24.95;;;;40.01;0.09;0.34;0.07
FELGUEIRAS;0.06;0.09;2.75;1.43;4.86;0.15;0.98;2.64;0.04;0.6;0.08;0.08;0.12;0.97;0.85;1.67;;32.35;;;;49.34;0.06;0.79;0.09
FERREIRA DO ALENTEJO;;;4.04;0.52;8.95;0.2;1.08;1.02;;0.44;0.01;0.24;;0.84;0.71;15.51;0.74;11.11;;;;54.04;0.01;0.41;0.14
FERREIRA DO ZEZERE;;;2.4;2.02;8.66;0.22;1.24;2.85;;0.59;0.23;0.12;;1.46;1.29;1.54;;33.58;;;;42.77;0.13;0.68;0.23
FIGUEIRA DA FOZ;0.27;;4.91;1.12;7.85;0.07;1.64;2.84;;0.81;0.1;0.16;;1.45;1.12;3.38;0.39;25.62;;;;47.62;;0.54;0.1
FIGUEIRA DE CASTELO RODRIGO;;;1.84;2.48;8.75;0.08;0.65;0.92;;0.43;0.01;0.0;;1.17;0.48;0.92;;38.49;;;;42.96;0.03;0.75;0.04
FIGUEIRO DOS VINHOS;;0.32;2.35;1.5;7.48;0.01;0.66;2.2;;0.65;0.08;0.5;0.08;1.7;0.95;1.62;;37.92;;;;41.59;0.0;0.37;0.01
FORNOS DE ALGODRES;;;1.67;3.35;6.74;0.11;1.09;1.02;;0.18;0.02;0.01;;1.12;0.84;1.18;;36.4;;;;45.41;0.12;0.61;0.13
FREIXO DE ESPADA A CINTA;;;3.23;0.51;6.8;0.0;0.72;0.75;;0.19;0.0;0.02;;0.88;0.26;2.56;;29.48;;;;53.84;;0.76;
FRONTEIRA;;;2.14;0.64;11.02;0.0;1.56;2.18;;0.32;0.0;0.72;;0.93;0.07;9.16;0.51;27.81;;;;42.94;0.0;0.0;0.0
FUNCHAL;;0.4;3.55;;5.87;0.13;0.58;4.49;3.62;0.82;0.19;0.36;;1.72;1.84;2.6;;;40.4;;0.13;32.42;0.44;0.41;
FUNDAO;;0.15;4.19;1.73;8.83;0.02;1.62;1.81;;0.64;0.15;0.09;0.11;1.66;0.7;2.56;0.36;25.52;;;;49.43;0.1;0.32;
GAVIAO;;;3.68;0.58;7.48;0.03;0.95;0.57;;0.29;0.12;0.36;;0.77;0.91;9.18;0.94;14.39;;;;59.34;0.0;0.28;0.12
GOIS;0.24;;3.48;1.52;3.03;0.0;1.33;1.26;;0.7;0.04;0.0;;1.99;0.87;1.41;0.14;35.43;;;;48.03;;0.44;0.1
GOLEGA;;;4.21;1.93;9.16;0.04;0.88;1.89;;0.75;0.04;0.09;;0.5;0.5;11.17;;19.04;;;;49.43;0.13;0.16;0.07
GONDOMAR;0.03;0.17;5.72;1.18;5.08;0.1;1.07;4.07;0.06;0.93;0.15;0.06;0.07;0.89;1.79;4.32;;27.84;;;;45.4;0.05;0.91;0.09
GOUVEIA;;;3.04;1.74;7.59;0.03;1.49;1.41;;0.74;0.13;0.03;;1.78;0.66;1.87;;32.67;;;;46.27;0.01;0.28;0.25
GRANDOLA;;0.25;5.46;1.14;7.55;0.04;0.85;3.1;0.0;1.0;0.08;0.04;0.17;0.59;0.94;13.86;1.56;14.15;;;;48.4;0.08;0.51;0.2
GUARDA;;;3.31;2.0;8.2;0.22;1.12;1.38;;0.36;0.09;0.09;;1.49;0.48;1.54;;27.92;;;;51.07;0.12;0.49;0.12
GUIMARAES;0.05;;3.77;1.35;5.59;0.13;1.25;4.35;0.09;0.65;0.1;0.09;;0.61;0.98;3.3;;30.53;;;;46.68;0.08;0.34;0.07
HORTA;;0.73;3.43;;3.85;0.1;3.66;2.16;;0.61;0.06;0.25;;0.51;1.24;3.42;0.28;;;42.4;;37.07;;0.22;0.02
IDANHA-A-NOVA;;0.2;3.37;1.43;9.17;0.01;1.23;1.21;;0.6;0.15;0.49;0.13;2.16;0.9;2.64;0.76;23.01;;;;52.12;0.02;0.41;
ILHAVO;;0.48;5.5;2.24;8.55;0.04;2.01;5.26;0.02;1.03;0.09;0.25;;0.92;1.85;1.51;0.38;33.23;;;;35.81;;0.5;0.32
LAGOA;;0.44;4.21;1.04;12.04;0.07;1.84;4.39;;0.79;0.22;0.13;;1.05;1.6;2.16;0.71;22.98;;24.08;;46.08;0.22;0.25;0.17
LAGOS;;0.93;6.1;1.08;10.61;0.15;1.96;4.06;;1.1;0.13;0.14;;0.75;2.38;5.78;;20.76;;;;43.42;0.14;0.38;0.14
