Concelho;A;ADN;B.E.;CDS-PP;CH;E;EMBRANCO;IL;JPP;L;MAS;MPT;NC;NULOS;PAN;PCP-PEV;PCTP/MRPP;PPD/PSD;PPD/PSD.CDS-PP;PPD/PSD.CDS-PP.PPM;PPM;PS;PTP;R.I.R.;VP
OLIVEIRA DO BAIRRO;;0.13;2.92;6.06;9.26;0.07;1.56;4.76;0.05;0.35;0.15;0.15;;1.03;0.72;0.9;0.4;46.31;;;;24.58;;0.4;0.2
OLIVEIRA DO HOSPITAL;0.14;;2.28;3.38;5.2;0.02;1.12;1.59;;0.5;0.07;0.12;;1.7;0.52;1.84;0.15;29.66;;;;51.16;;0.37;0.15
OUREM;;;3.09;3.41;9.7;0.18;1.77;3.67;;0.73;0.26;0.21;;1.37;1.14;1.42;;45.51;;;;26.82;0.07;0.47;0.19
OURIQUE;;;2.61;0.56;7.09;0.18;0.91;1.41;;0.48;0.07;0.28;;0.98;0.89;9.1;0.27;30.02;;;;44.78;0.06;0.09;0.22
OVAR;;0.21;5.11;1.19;4.04;0.08;1.17;3.96;0.03;0.71;0.09;0.16;;0.96;1.33;2.2;0.42;33.25;;;;44.64;;0.37;0.06
PACOS DE FERREIRA;0.04;0.1;2.86;1.5;5.3;0.12;1.3;3.78;0.04;0.59;0.05;0.08;0.16;1.06;0.99;1.84;;37.98;;;;41.31;0.06;0.76;0.1
PALMELA;;0.35;5.9;1.14;10.98;0.07;1.21;5.04;0.05;1.45;0.11;0.14;0.2;0.91;1.94;8.56;0.78;17.44;;;;43.08;0.06;0.49;0.1
PAMPILHOSA DA SERRA;0.0;;2.1;3.14;3.51;0.02;0.34;1.0;;0.15;0.14;0.29;;1.9;0.23;1.3;0.12;35.26;;;;50.02;;0.16;0.33
PAREDES;0.05;0.04;2.83;1.78;4.67;0.18;0.83;2.91;0.05;0.65;0.05;0.06;0.15;1.19;1.1;2.04;;34.79;;;;45.2;0.03;1.31;0.09
PAREDES DE COURA;0.16;;2.48;2.29;5.51;0.27;2.16;1.7;;0.72;0.26;0.39;;1.12;1.12;2.28;;26.81;;;;52.18;;0.46;0.07
PEDROGAO GRANDE;;0.35;2.37;1.87;5.28;0.03;0.57;1.47;;0.06;0.03;0.0;0.03;2.48;0.32;2.14;;45.68;;;;36.9;0.11;0.31;0.0
PENACOVA;0.14;;2.38;1.27;5.71;0.05;1.1;1.76;;0.57;0.06;0.2;;1.15;0.63;2.48;0.3;35.36;;;;46.45;;0.28;0.13
PENAFIEL;0.04;0.09;3.31;1.58;3.56;0.17;0.73;2.4;0.04;0.52;0.07;0.04;0.15;1.19;0.79;1.83;;31.76;;;;47.97;0.05;3.62;0.1
PENALVA DO CASTELO;;0.07;2.24;2.46;6.04;0.14;0.91;1.37;;0.31;0.12;0.24;0.12;1.23;0.34;1.41;;32.99;;;;49.51;0.09;0.34;0.06
PENAMACOR;;0.16;3.94;2.61;11.31;0.09;1.17;1.09;;0.55;0.15;0.26;0.19;1.49;0.62;1.31;0.38;23.81;;;;50.65;0.11;0.12;
PENEDONO;;0.05;1.8;1.95;8.54;0.19;0.54;1.72;;0.4;0.1;0.0;0.03;1.33;0.54;1.06;;39.62;;;;40.97;0.1;1.05;0.03
PENELA;0.02;;3.38;1.12;5.92;0.02;1.56;2.91;;0.41;0.12;0.0;;1.14;1.11;1.23;0.36;31.02;;;;49.26;;0.23;0.18
PENICHE;;0.6;5.12;1.28;9.25;0.06;1.67;4.19;;0.95;0.1;0.13;0.18;1.1;1.46;5.6;;24.69;;;;42.61;0.04;0.89;0.08
PESO DA REGUA;;;2.36;1.38;6.3;0.01;0.59;1.48;;0.26;0.22;0.04;0.13;1.03;0.52;2.43;;35.14;;;;47.9;;0.14;0.09
PINHEL;;;2.8;2.74;6.43;0.21;1.43;1.59;;0.46;0.1;0.22;;1.52;0.37;1.29;;43.44;;;;36.28;0.17;0.6;0.36
POMBAL;;0.27;3.38;2.09;8.67;0.09;2.09;4.46;;0.74;0.11;0.12;0.17;1.2;0.92;1.47;;43.94;;;;29.56;0.04;0.53;0.15
PONTA DELGADA;;0.6;5.04;;7.61;0.08;2.32;4.48;;1.08;0.13;0.26;;1.16;1.73;1.44;0.44;;;29.06;;44.26;;0.22;0.09
PONTA DO SOL;;0.48;1.09;;5.69;0.33;0.58;2.32;2.8;0.66;0.07;0.42;;1.71;0.68;0.64;;;46.27;;0.13;35.73;0.33;0.09;
PONTE DA BARCA;0.0;;1.97;2.21;5.61;0.11;0.96;1.84;;0.55;0.08;0.0;;0.68;0.83;1.51;;40.3;;;;42.9;;0.31;0.11
PONTE DE LIMA;0.07;;2.39;11.68;6.35;0.07;1.14;2.74;;0.48;0.08;0.16;;1.16;0.7;1.67;;37.88;;;;32.87;;0.43;0.14
PONTE DE SOR;;;3.54;0.77;10.51;0.08;0.96;1.91;;0.33;0.18;0.07;;0.9;0.37;15.39;1.09;12.57;;;;50.91;0.01;0.25;0.15
PORTALEGRE;;;2.31;1.47;8.9;0.06;1.25;2.12;;0.76;0.01;0.08;;0.84;0.56;2.89;0.31;33.44;;;;44.61;0.05;0.25;0.08
PORTEL;;;2.43;0.55;8.56;0.01;0.55;1.05;;0.18;0.07;0.0;;0.97;0.64;24.34;;8.51;;;;51.29;0.01;0.78;0.06
PORTIMAO;;0.61;6.61;1.44;13.86;0.09;1.37;5.25;;0.99;0.21;0.24;;0.74;2.23;4.44;;22.03;;;;39.16;0.14;0.45;0.15
PORTO;0.02;0.17;5.99;1.97;3.3;0.08;0.8;7.76;0.03;2.17;0.07;0.05;0.07;0.6;1.93;4.75;;34.47;;;;35.28;0.03;0.32;0.14
PORTO DE MOS;;0.24;3.83;2.41;10.11;0.08;1.58;4.89;;0.67;0.1;0.1;0.13;1.23;1.05;1.77;;40.91;;;;30.2;0.06;0.45;0.18
PORTO MONIZ;;0.19;0.72;;5.07;0.09;0.66;0.85;1.03;0.27;0.51;0.16;;1.95;0.49;1.05;;;46.27;;0.09;40.22;0.2;0.18;
PORTO SANTO;;0.21;2.83;;8.67;0.18;0.64;2.01;1.83;0.86;0.14;0.07;;1.86;1.43;1.04;;;40.33;;0.04;37.36;0.14;0.36;
POVOA DE LANHOSO;0.05;;1.83;1.33;5.04;0.07;1.1;2.07;0.2;0.43;0.05;0.13;;0.75;0.49;1.17;;35.26;;;;49.48;0.16;0.34;0.05
POVOA DE VARZIM;0.07;0.07;2.65;3.27;6.85;0.08;1.22;4.08;0.08;0.75;0.05;0.08;0.19;0.78;1.02;1.29;;48.34;;;;28.56;0.03;0.46;0.07
POVOACAO;;0.61;5.01;;7.63;0.08;2.33;4.53;;1.09;0.13;0.26;;1.16;1.72;1.46;0.44;;;29.11;;44.14;;0.23;0.09
PROENCA-A-NOVA;;0.01;2.08;2.05;7.98;0.12;1.14;1.72;;0.32;0.02;0.03;0.01;1.22;0.42;0.97;0.1;36.38;;;;45.3;0.02;0.1;
REDONDO;;;3.06;1.27;10.14;0.0;0.65;1.22;;0.6;0.14;0.0;;0.45;0.64;14.4;;22.02;;;;44.92;0.12;0.18;0.2
REGUENGOS DE MONSARAZ;;;2.62;0.52;11.36;0.01;1.24;1.24;;0.29;0.1;0.24;;0.91;0.88;8.27;;21.25;;;;50.56;0.05;0.39;0.08
RESENDE;;0.01;1.01;0.88;4.62;0.09;0.68;1.08;;0.29;0.04;0.04;0.01;1.33;0.33;0.89;;40.64;;;;47.02;0.2;0.53;0.3
RIBEIRA BRAVA;;0.72;3.05;;8.37;0.41;0.85;1.8;2.49;0.65;0.5;0.46;;2.55;1.58;1.73;;;45.78;;0.14;27.61;0.8;0.52;
RIBEIRA DE PENA;;;1.0;1.71;4.33;0.1;0.57;0.99;;0.33;0.21;0.02;0.26;0.5;0.27;1.28;;41.21;;;;46.67;;0.56;0.0
RIBEIRA GRANDE;;0.34;5.37;;8.73;0.04;2.42;2.95;;0.69;0.08;0.22;;1.57;1.5;1.36;0.49;;;31.17;;42.66;;0.24;0.16
RIO MAIOR;;;3.3;2.23;9.49;0.19;1.48;2.72;;0.8;0.17;0.08;;1.0;0.8;3.48;;33.53;;;;40.22;0.07;0.33;0.1
SABROSA;;;2.54;2.11;8.13;0.08;0.94;1.4;;0.13;0.15;0.03;0.2;1.69;0.5;1.67;;36.26;;;;43.39;;0.78;0.0
SABUGAL;;;2.89;2.66;11.03;0.28;1.44;1.42;;0.44;0.1;0.25;;1.29;0.68;1.24;;31.67;;;;43.59;0.07;0.73;0.23
SALVATERRA DE MAGOS;;;5.87;1.34;12.97;0.08;1.12;3.12;;0.7;0.16;0.08;;1.2;1.04;6.35;;15.54;;;;49.88;0.02;0.43;0.1
SANTA COMBA DAO;;0.02;3.22;1.44;6.4;0.08;1.7;2.29;;0.57;0.06;0.04;0.04;1.37;0.7;1.17;;36.79;;;;43.41;0.05;0.48;0.19
SANTA CRUZ;;0.45;2.51;;4.67;0.15;0.61;2.65;30.64;0.61;0.09;0.21;;1.61;1.41;1.57;;;27.37;;0.4;24.22;0.52;0.31;
SANTA CRUZ DA GRACIOSA;;0.73;1.9;;2.87;0.1;2.88;2.46;;0.52;0.14;0.2;;1.16;0.78;0.84;0.07;;;37.48;;47.46;;0.42;0.0
SANTA CRUZ DAS FLORES;;0.27;3.8;;5.67;0.13;5.26;1.09;;0.27;0.2;0.09;;1.54;0.27;2.42;0.82;;;21.96;;54.84;;1.38;0.0
SANTA MARIA DA FEIRA;;0.19;4.71;1.64;4.6;0.06;1.13;4.35;0.04;0.66;0.13;0.16;;1.0;1.28;1.54;0.41;33.79;;;;43.73;;0.48;0.12
SANTA MARTA DE PENAGUIAO;;;1.58;1.62;5.4;0.0;0.68;1.56;;0.19;0.2;0.0;0.12;0.95;0.58;1.18;;32.33;;;;53.28;;0.24;0.06
SANTANA;;0.37;2.5;;3.62;0.2;0.72;2.0;3.82;1.08;0.02;0.4;;1.74;0.99;1.84;;;48.97;;0.1;30.86;0.38;0.39;
SANTAREM;;;3.65;1.82;9.77;0.05;1.07;3.39;;0.59;0.1;0.17;;0.75;0.87;5.65;;26.74;;;;44.8;0.07;0.42;0.09
SANTIAGO DO CACEM;;0.21;5.09;1.26;7.68;0.09;1.17;2.83;0.08;0.76;0.1;0.05;0.08;0.97;0.93;16.22;1.33;16.08;;;;44.48;0.08;0.46;0.05
SANTO TIRSO;0.04;0.1;4.33;1.18;4.44;0.13;1.21;3.76;0.04;0.77;0.07;0.06;0.11;0.76;1.31;2.73;;31.58;;;;46.66;0.07;0.48;0.18
SAO BRAS DE ALPORTEL;;0.35;5.22;1.05;10.89;0.02;1.6;4.25;;0.97;0.14;0.23;;1.03;1.75;3.99;;27.73;;;;40.08;0.21;0.39;0.1
SAO JOAO DA MADEIRA;;0.28;5.19;1.57;3.88;0.04;1.02;5.26;0.05;0.93;0.17;0.18;;0.84;1.44;2.57;0.36;30.33;;;;45.3;;0.42;0.16
SAO JOAO DA PESQUEIRA;;0.01;2.03;1.98;5.9;0.16;0.81;2.03;;0.42;0.16;0.11;0.24;1.03;0.69;1.66;;36.92;;;;44.12;0.22;1.16;0.37
SAO PEDRO DO SUL;;0.08;2.14;1.77;6.59;0.13;1.39;1.8;;0.48;0.07;0.08;0.07;1.1;0.74;1.5;;35.12;;;;45.95;0.19;0.58;0.23
SAO ROQUE DO PICO;;0.22;3.77;;4.01;0.0;3.78;2.25;;0.58;0.18;0.04;;0.58;1.6;0.42;0.23;;;34.76;;47.27;;0.29;0.04
SAO VICENTE;;0.55;2.8;;5.27;0.43;0.86;3.18;1.19;0.4;0.17;0.14;;1.56;0.54;1.66;;;52.83;;0.1;26.75;0.88;0.68;
SARDOAL;;;4.0;1.99;9.94;0.11;1.38;1.74;;0.57;0.66;0.17;;1.41;2.25;3.48;;32.99;;;;38.53;0.0;0.68;0.09
SATAO;;0.12;1.86;2.52;10.93;0.09;0.79;2.13;;0.3;0.23;0.04;0.12;1.09;0.74;1.33;;41.66;;;;35.56;0.04;0.37;0.07
SEIA;;;2.41;1.68;7.27;0.13;1.13;1.54;;0.49;0.05;0.06;;1.81;0.71;2.55;;28.83;;;;50.72;0.08;0.38;0.16
SEIXAL;;0.26;5.35;1.1;9.82;0.07;1.01;5.52;0.04;1.28;0.12;0.12;0.08;0.89;2.16;9.47;0.47;16.08;;;;45.67;0.05;0.33;0.1
SERNANCELHE;;0.0;1.31;3.69;7.33;0.11;1.3;0.79;;0.48;0.14;0.17;0.01;1.43;0.61;0.88;;53.22;;;;28.04;0.03;0.38;0.08
SERPA;;;2.43;0.47;11.72;0.17;0.84;1.35;;0.46;0.01;0.09;;0.73;0.39;29.17;0.86;11.81;;;;38.99;0.08;0.17;0.26
SERTA;;0.19;2.09;2.74;8.04;0.11;0.97;1.51;;0.47;0.08;0.12;0.08;1.86;0.67;0.74;0.07;40.14;;;;39.89;0.04;0.18;
SESIMBRA;;0.41;5.49;1.23;10.8;0.09;1.12;5.25;0.03;1.33;0.13;0.14;0.16;0.87;2.01;8.91;0.6;16.98;;;;43.88;0.06;0.38;0.15
SETUBAL;;0.31;5.79;1.08;9.02;0.08;1.06;5.22;0.07;1.39;0.09;0.13;0.08;0.61;1.82;10.21;0.6;16.74;;;;45.26;0.05;0.27;0.12
SEVER DO VOUGA;;0.12;3.15;4.51;7.03;0.07;1.01;3.24;0.03;0.67;0.04;0.06;;0.85;0.8;1.03;0.4;48.62;;;;27.75;;0.54;0.1
SILVES;;0.53;5.15;0.94;13.25;0.16;1.44;3.63;;1.03;0.12;0.22;;1.2;1.69;8.41;;21.74;;;;39.79;0.21;0.34;0.13
SINES;;0.23;5.11;1.23;10.05;0.12;1.26;3.5;0.02;1.17;0.14;0.24;0.02;0.81;1.08;8.68;0.73;17.23;;;;47.96;0.01;0.24;0.16
SINTRA;0.05;0.32;5.06;1.45;9.63;0.11;1.17;6.28;0.09;1.8;0.13;0.15;0.13;0.96;2.29;4.47;0.45;21.79;;;;43.22;0.04;0.3;0.11
SOBRAL DE MONTE AGRACO;0.03;0.34;4.12;1.37;9.09;0.07;1.14;5.58;0.18;1.62;0.27;0.17;0.09;1.18;1.53;8.33;1.03;21.43;;;;41.91;0.04;0.41;0.08
SOURE;0.15;;4.9;1.3;6.68;0.05;1.9;2.44;;0.94;0.08;0.14;;1.28;0.83;3.24;0.24;25.09;;;;50.08;;0.58;0.08
SOUSEL;;;2.63;0.55;10.78;0.0;0.88;2.16;;0.44;0.24;0.0;;1.27;0.27;7.68;0.61;24.8;;;;47.34;0.07;0.29;0.0
TABUA;0.1;;2.06;1.95;4.64;0.12;1.19;2.16;;0.27;0.03;0.15;;1.62;0.88;1.82;0.33;32.77;;;;49.38;;0.37;0.14
TABUACO;;0.42;2.69;3.41;7.8;0.07;0.8;0.88;;0.31;0.04;0.04;0.0;1.46;0.66;0.59;;38.06;;;;41.62;0.08;0.71;0.37
TAROUCA;;0.09;2.56;2.01;6.76;0.08;0.64;1.29;;0.53;0.01;0.03;0.12;1.67;0.47;2.3;;40.75;;;;40.1;0.22;0.26;0.11
TAVIRA;;0.31;4.71;0.82;8.98;0.18;1.66;2.98;;1.0;0.14;0.12;;1.27;1.22;3.5;;27.05;;;;45.29;0.19;0.47;0.11
TERRAS DE BOURO;0.03;;1.96;1.7;7.55;0.02;1.17;1.76;0.02;0.34;0.28;0.09;;0.74;0.87;1.75;;44.9;;;;36.27;0.15;0.26;0.15
TOMAR;;;4.51;2.05;9.62;0.13;1.23;2.8;;0.73;0.15;0.2;;1.16;1.17;3.4;;27.58;;;;44.58;0.1;0.37;0.24
TONDELA;;0.11;2.84;2.2;7.5;0.18;1.36;2.41;;0.63;0.08;0.08;0.12;0.98;0.73;1.64;;38.59;;;;40.11;0.08;0.28;0.09
TORRE DE MONCORVO;;;2.41;2.05;8.34;0.08;0.5;1.11;;0.39;0.07;0.24;;1.13;0.63;1.26;;37.84;;;;43.2;;0.78;
TORRES NOVAS;;;6.23;1.56;8.95;0.13;1.46;3.32;;0.68;0.18;0.14;;1.15;1.08;5.4;;23.28;;;;45.73;0.11;0.42;0.2
TORRES VEDRAS;0.27;0.38;4.49;1.37;8.91;0.09;1.34;5.0;0.1;1.23;0.15;0.16;0.08;1.17;1.46;3.99;0.62;26.89;;;;41.74;0.03;0.49;0.06
TRANCOSO;;;2.28;3.01;6.65;0.28;1.03;0.99;;0.28;0.04;0.02;;1.05;0.28;1.25;;34.19;;;;47.8;0.19;0.59;0.08
TROFA;0.04;0.05;3.06;1.61;4.58;0.16;1.16;3.62;0.03;0.62;0.11;0.07;0.11;0.97;1.6;1.59;;37.18;;;;42.64;0.07;0.67;0.07
VAGOS;;0.2;2.83;5.09;8.65;0.1;1.28;3.67;0.04;0.75;0.1;0.09;;1.26;0.87;0.76;0.24;52.8;;;;20.86;;0.29;0.08
VALE DE CAMBRA;;0.09;3.7;7.34;5.07;0.05;1.25;3.2;0.04;0.47;0.09;0.09;;1.48;0.79;0.86;0.26;39.07;;;;35.28;;0.73;0.13
VALENCA;0.1;;2.16;1.92;8.75;0.09;0.91;2.4;;0.34;0.19;0.04;;1.0;0.89;1.61;;36.98;;;;41.87;;0.66;0.09
VALONGO;0.04;0.18;5.09;0.99;4.82;0.09;1.18;4.6;0.05;1.03;0.06;0.09;0.12;1.06;2.08;4.17;;28.17;;;;45.1;0.06;0.94;0.09
VALPACOS;;;1.25;2.16;8.25;0.08;0.9;0.74;;0.28;0.28;0.03;0.27;1.49;0.55;0.61;;55.53;;;;27.24;;0.28;0.07
VELAS;;1.26;2.2;;4.52;0.09;2.15;3.11;;0.49;0.0;0.25;;1.39;1.08;2.15;0.29;;;41.17;;39.65;;0.12;0.07
VENDAS NOVAS;;;3.57;0.7;7.64;0.04;0.58;2.04;;0.6;0.01;0.04;;0.51;0.76;16.88;;20.75;;;;45.16;0.06;0.62;0.06
VIANA DO ALENTEJO;;;3.11;1.4;11.05;0.1;1.37;1.79;;0.48;0.0;0.09;;0.61;0.86;23.51;;15.58;;;;39.48;0.0;0.38;0.19
VIANA DO CASTELO;0.2;;4.18;2.15;6.83;0.13;1.44;3.08;;0.72;0.15;0.14;;0.9;1.02;3.32;;32.21;;;;42.83;;0.58;0.12
VIDIGUEIRA;;;2.5;0.51;9.41;0.02;0.98;1.78;;0.51;0.14;0.33;;0.98;0.82;22.18;0.74;9.65;;;;49.16;0.0;0.16;0.09
VIEIRA DO MINHO;0.09;;2.17;1.42;7.13;0.13;0.95;1.8;0.1;0.43;0.06;0.06;;0.82;0.84;1.7;;41.76;;;;39.93;0.14;0.42;0.06
VILA DA PRAIA DA VITORIA;;0.46;2.56;;5.69;0.03;2.37;3.55;;0.55;0.08;0.12;;0.98;0.94;0.98;0.43;;;38.42;;42.65;;0.13;0.05
VILA DE REI;;0.18;3.33;3.68;8.12;0.0;1.22;1.35;;0.39;0.14;0.14;0.02;1.8;0.72;4.03;0.21;45.55;;;;28.79;0.09;0.23;
VILA DO BISPO;;0.82;6.98;0.58;7.79;0.08;1.66;3.17;;1.36;0.24;0.4;;0.74;2.44;6.41;;23.44;;;;43.32;0.03;0.53;0.0
VILA DO CONDE;0.05;0.16;3.62;1.43;5.29;0.12;1.02;4.26;0.05;0.74;0.07;0.09;0.08;0.71;1.36;2.09;;34.25;;;;44.0;0.05;0.5;0.07
VILA DO PORTO;;0.74;4.65;;4.45;0.08;3.52;2.76;;0.72;0.11;0.15;;1.11;1.08;1.89;0.64;;;22.93;;54.74;;0.44;0.0
VILA FLOR;;;2.29;3.33;8.52;0.21;0.64;1.65;;0.2;0.04;0.11;;1.18;0.34;1.53;;36.69;;;;42.72;;0.54;
VILA FRANCA DE XIRA;0.05;0.2;5.09;1.1;9.11;0.08;1.14;5.22;0.07;1.6;0.11;0.11;0.06;0.83;1.87;9.27;0.68;16.32;;;;46.59;0.04;0.35;0.1
VILA FRANCA DO CAMPO;;0.34;2.82;;7.65;0.08;2.53;2.89;;0.89;0.09;0.11;;1.18;1.8;0.88;0.29;;;31.88;;46.31;;0.25;0.02
VILA NOVA DA BARQUINHA;;;5.03;1.5;12.58;0.04;1.29;3.04;;0.49;0.14;0.16;;0.78;1.7;5.36;;15.55;;;;51.68;0.15;0.46;0.06
VILA NOVA DE CERVEIRA;0.08;;2.97;1.76;7.78;0.08;1.05;2.39;;0.5;0.08;0.1;;1.02;1.01;1.57;;30.83;;;;48.26;;0.44;0.08
VILA NOVA DE FAMALICAO;0.03;;3.45;1.58;5.2;0.1;1.21;3.89;0.09;0.65;0.08;0.08;;0.88;1.2;2.14;;33.96;;;;44.96;0.08;0.36;0.06
VILA NOVA DE FOZ COA;;;1.69;1.85;5.36;0.21;1.02;0.69;;0.38;0.05;0.05;;1.08;0.72;1.1;;41.45;;;;43.76;0.09;0.25;0.26
VILA NOVA DE GAIA;0.04;0.19;5.38;1.45;4.49;0.1;1.11;5.61;0.04;1.11;0.07;0.1;0.09;0.82;1.97;3.56;;29.41;;;;43.81;0.05;0.5;0.09
VILA NOVA DE PAIVA;;0.02;1.12;3.14;7.94;0.18;1.01;2.13;;0.13;0.17;0.06;0.45;1.47;0.66;1.42;;45.72;;;;33.73;0.04;0.38;0.22
VILA NOVA DE POIARES;0.28;;4.5;0.9;7.38;0.04;1.86;2.41;;0.66;0.2;0.08;;1.39;0.92;2.64;0.18;31.75;;;;44.41;;0.37;0.02
VILA POUCA DE AGUIAR;;;1.51;1.31;5.69;0.1;0.71;1.11;;0.33;0.22;0.18;0.09;1.45;0.65;1.5;;43.55;;;;41.11;;0.42;0.06
VILA REAL;;;2.7;1.6;7.98;0.12;0.99;2.05;;0.53;0.17;0.04;0.18;0.87;0.89;1.56;;39.38;;;;40.35;;0.46;0.13
VILA REAL DE SANTO ANTONIO;;0.24;5.54;1.02;12.47;0.07;0.92;2.39;;0.8;0.08;0.07;;0.84;1.68;7.09;;19.38;;;;46.72;0.06;0.56;0.08
VILA VELHA DE RODAO;;0.0;3.81;1.39;6.19;0.0;1.18;2.22;;0.32;0.12;0.1;0.1;1.11;0.36;3.46;0.6;22.72;;;;56.22;0.03;0.09;
VILA VERDE;0.09;;2.29;2.36;7.39;0.11;1.44;2.79;0.12;0.57;0.06;0.18;;0.95;0.89;1.05;;42.95;;;;36.13;0.11;0.41;0.12
VILA VICOSA;;;2.22;1.02;12.6;0.06;0.82;1.52;;0.36;0.12;0.26;;0.6;0.31;11.78;;17.77;;;;50.04;0.0;0.32;0.18
VIMIOSO;;;1.59;0.96;4.43;0.05;0.81;1.07;;0.16;0.12;0.19;;1.21;0.33;0.85;;55.87;;;;32.11;;0.25;
VINHAIS;;;1.28;1.67;6.83;0.02;0.7;0.85;;0.1;0.07;0.14;;1.75;0.44;0.76;;41.61;;;;43.47;;0.3;
VISEU;;0.11;2.83;2.01;8.79;0.1;1.16;3.02;;0.68;0.08;0.06;0.17;0.97;0.99;1.3;;36.72;;;;40.51;0.05;0.27;0.18
VIZELA;0.0;;3.92;1.36;4.34;0.11;1.14;4.45;0.14;0.73;0.09;0.06;;1.0;0.88;1.91;;23.91;;;;55.26;0.08;0.55;0.06
VOUZELA;;0.18;2.51;1.17;7.8;0.08;1.09;2.05;;0.59;0.05;0.04;0.16;0.89;0.67;1.11;;37.51;;;;43.66;0.11;0.29;0.04
