Concelho;HM-1:Solteiro-T:Total;HM-2:Casado-T:Total;HM-3:Viúvo-T:Total;HM-4:Divorciado-T:Total
TONDELA;9285;12467;2668;1490
VILA NOVA DE PAIVA;1591;2326;531;214
VISEU;40346;45090;7109;7006
VOUZELA;3445;4657;980;498
CASTELO BRANCO;20048;23334;4735;4155
IDANHA-A-NOVA;2667;3852;1271;565
OLEIROS;1368;2512;768;256
PENAMACOR;1443;2332;705;288
PROENCA-A-NOVA;2421;3468;954;324
VILA VELHA DE RODAO;1008;1577;498;202
ABRANTES;12742;15033;3739;2815
ALCANENA;4919;5291;1158;1104
CONSTANCIA;1484;1675;344;295
ENTRONCAMENTO;8693;8091;1377;1980
FERREIRA DO ZEZERE;2769;3596;913;522
MACAO;2088;2968;956;390
OUREM;18304;19318;4000;2916
SARDOAL;1302;1534;428;249
SERTA;5393;6954;1593;829
TOMAR;13770;15604;3868;3171
TORRES NOVAS;13563;14525;3113;2910
VILA DE REI;1178;1425;491;185
VILA NOVA DA BARQUINHA;2767;3014;676;559
ALMEIDA;1820;2826;942;299
BELMONTE;2217;2923;680;385
CELORICO DA BEIRA;2094;3273;790;426
COVILHA;17893;20555;4514;3493
FIGUEIRA DE CASTELO RODRIGO;1717;2429;723;279
FORNOS DE ALGODRES;1435;2177;568;223
FUNDAO;9349;12391;2918;1845
GOUVEIA;3950;5956;1541;775
GUARDA;15758;18489;3328;2542
MANTEIGAS;921;1458;366;164
MEDA;1443;2345;625;217
PINHEL;2421;4289;1045;337
SABUGAL;3590;5374;1781;535
SEIA;7245;10705;2476;1329
TRANCOSO;2668;4275;1028;442
ALCOCHETE;9037;7192;1073;1841
ALMADA;84830;61634;13257;17517
AMADORA;88624;56155;11732;14943
BARREIRO;36259;28360;6325;7401
CASCAIS;100692;77533;13738;22161
LISBOA;281570;173337;40761;50128
LOURES;98427;72605;13945;16613
MAFRA;40785;33108;5011;7611
MOITA;32354;22941;4894;6066
MONTIJO;27345;19531;3603;5203
ODIVELAS;72532;54449;9278;11775
OEIRAS;82840;60060;11341;17417
PALMELA;31846;25396;4984;6626
SEIXAL;79478;61805;10108;15116
SESIMBRA;24180;20154;3330;4720
SETUBAL;57427;44869;8933;12267
SINTRA;197314;132137;21629;34526
VILA FRANCA DE XIRA;65407;52254;8028;11840
ALCACER DO SAL;4472;4592;1190;858
GRANDOLA;6514;4799;1251;1258
ODEMIRA;14152;11350;2222;1814
SANTIAGO DO CACEM;12091;10746;2573;2362
SINES;6705;5103;1081;1309
ALJUSTREL;3773;3640;935;526
ALMODOVAR;2789;2814;768;341
ALVITO;969;897;264;150
BARRANCOS;608;603;147;80
BEJA;15432;12377;2845;2740
CASTRO VERDE;2977;2754;721;421
CUBA;1836;1845;428;264
FERREIRA DO ALENTEJO;3370;2895;861;558
MERTOLA;2418;2651;757;380
MOURA;5759;5205;1385;909
OURIQUE;2067;1838;600;334
SERPA;5683;5710;1416;948
VIDIGUEIRA;2259;2005;562;349
ALMEIRIM;9100;8864;1947;2101
ALPIARCA;2594;2952;779;650
AZAMBUJA;9411;8459;1763;1788
BENAVENTE;13422;11474;2105;2708
CARTAXO;9624;9195;1998;2369
CHAMUSCA;3107;3777;958;688
CORUCHE;5989;8071;2064;1231
GOLEGA;2116;2254;540;490
RIO MAIOR;8882;8566;1737;1819
