COD,CONC,ORG,A,B.E.,CDS-PP,CH,E,IL,JPP,L,MAS,MPT,NC,PAN,PCTP/MRPP,PDR,PPD/PSD,PPM,PS,PTP,R.I.R.,VP,PCP-PEV,[NC/A],IN-OV,VM,[MCCP],[AFE],[CPC],[MMMI],AP,MIPA,[SPCVB],[S-MI],[UTV],[MVR],[MC21],[MCPE],[CLIP],[MPNT],[MOVE],[MAiSines],MUB,R,FAP,#NAME?,Manteigas 2030,UPF,MMMF,MOV.PT,I-Góis,M51,JÁ!,U.C.,UCPT,CICC,jmfv,MFI,MCPE,JPNT,MLP,GCA,MP,CIC,,VA,PV,[ALTERNATIVAcom,,CICF,CPM,[MPT/PPM/A,UPM,MSU,CIMB
140700,CHAMUSCA,CM,,,,10.08,,,,,,,,,,,20.11,,46.25,,,,23.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141400,RIO MAIOR,CM,,1.5,,4.22,,,,,,,,,,,59.09,,29.89,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141500,SALVATERRA DE MAGOS,CM,,13.94,,14.11,,,,,,,,,,,9.86,,52.64,,,,9.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141900,TORRES NOVAS,CM,,7.16,,3.24,,1.32,,,,,,,,,17.6,,47.13,,,,6.28,,,,,,,,,,,,,,,,,17.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142100,OUREM,CM,,,,5.17,,,,,,,,,,,66.44,,19.77,,,,2.31,,,,,,,,,,,,,,,,,,6.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150500,GRANDOLA,CM,,,,2.91,,,,,,,,,,,7.34,,43.52,,,,46.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150900,SANTIAGO DO CACEM,CM,,5.33,,5.18,,,,,,,,,,,15.96,,28.29,,,,45.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151300,SINES,CM,,,,3.56,,,,,,,,,,,3.42,,51.5,,,,14.68,,,,,,,,,,,,,,,,,,,26.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160500,PAREDES DE COURA,CM,,,,,,,,,,,,,,,22,,69.47,,,,8.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160900,VIANA DO CASTELO,CM,4.07,4.81,,3.66,,1.9,,,,,1.07,,,,26.07,,47.76,,,,10.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170100,ALIJO,CM,,,,2.03,,,,,,,,,,,63.45,,32.65,,,,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170300,CHAVES,CM,,,,2.17,,,,,,,,,,,37.8,,56.67,,,,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170400,MESAO FRIO,CM,,,,,,,,,,,,,,,14.66,,50.4,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,33.73,,,,,,,,,,,,,,,,,,,,,,,,,,
170600,MONTALEGRE,CM,,,,,,,,,,,,,,,44.28,,53.72,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170900,RIBEIRA DE PENA,CM,,,,1.06,,,,,,,,,,,42.02,,56.44,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171100,SANTA MARTA DE PENAGUIAO,CM,,,,,,,,,,,,,,,37.15,,60.55,,,,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180100,ARMAMAR,CM,,,,,,,,,,,,,,,60.03,,31.31,,,,8.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180300,CASTRO DAIRE,CM,,,,4.2,,,,,,,,,,,64.14,,29.56,,,,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180500,LAMEGO,CM,,,,4.29,,,,,,,,,,,47.27,,45.83,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180600,MANGUALDE,CM,,,,12.05,,,,,,,,,,,27.17,,58.07,,,,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180700,MOIMENTA DA BEIRA,CM,,,,2.35,,,,,,,,,,,39.44,,56.91,,,,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180900,NELAS,CM,,,,,,,,,,,,,,,54.94,,41.46,,,,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181000,OLIVEIRA DE FRADES,CM,,,,,,,,,,,42.9,,,,47.11,,6.79,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181100,PENALVA DO CASTELO,CM,,,,,,,,,,,,,,,38.91,,59.43,,,,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181400,SANTA COMBA DAO,CM,,,,,,,,,,,,,,,41.57,,55.52,,,,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181500,SAO JOAO DA PESQUEIRA,CM,,,,,,,,,,,,,,,36.89,,61.26,,,,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181900,TABUACO,CM,,,,4.72,,,,,,,,,,,74.49,,19.83,,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310400,MACHICO,CM,,,,2.11,,1.7,4.45,,,,,,,,36.77,,53.54,0.61,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310500,PONTA DO SOL,CM,,,,,,1.15,3.34,,,,,,,,38.58,,55.19,0.69,0.19,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310600,PORTO MONIZ,CM,,,,,,,,,,,,,,,42.79,,56.03,,,,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311000,SAO VICENTE,CM,,,,,,12.94,,,,,,,,,73.59,,9.7,1.98,0.75,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320100,PORTO SANTO,CM,,,,,,,,,,,,,,,52.19,0.74,46.45,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430200,VILA DA PRAIA DA VITORIA,CM,,0.86,,1.37,,,,,,,,,,,45.39,,41.85,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.83,,,,,,,,
131100,PENAFIEL,CM,,1.71,,2.23,,,,,,,,,,,62.25,,31.82,,,,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310300,FUNCHAL,CM,,,,2.65,,1.29,1.74,0.45,,,,,,,48.34,0.46,40.93,1.14,,,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81000,OLHAO,CM,,5.42,2.26,7.94,,,,,,,,3.42,,,22.49,,51.31,,,,7.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100,AGUEDA,CM,,2.08,13.77,3.95,,,,,,,,,,,47.26,,31.16,,,,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140400,ALPIARCA,CM,,,,3.15,,,,,,,,,,,9.71,,45.13,,,,42.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480200,SANTA CRUZ DAS FLORES,CM,,,,,,,,,,,,,,,36.15,,63.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60900,MIRANDA DO CORVO,CM,,2.13,1.28,1.86,,,,,,,,,,,42.27,,47.09,,,,5.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10200,ALBERGARIA-A-VELHA,CM,,1.4,62.47,1.96,,,,,,,,,,,25.38,,7.13,,,,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10300,ANADIA,CM,,,,2.54,,1.8,,,,,,,,,28.53,,61.56,,,,5.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10600,CASTELO DE PAIVA,CM,,,0.4,,,,,,,,,,,,55.66,,32.13,,,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.94,,,,,,,,,,,,,,,,,,,,
10700,ESPINHO,CM,,3.89,2.26,2.6,,,,,,,1.69,2.32,,,39.71,,42.42,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10900,FEIRA,CM,,3.9,3.42,2.97,,2.85,,,,,,1.54,,,51.31,,31.57,,,,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000,ILHAVO,CM,,2.42,1.64,4.61,,,,,,,,,,,33.03,,21.72,,,,1.64,,,,,,,,,,,,,,,,,,,,,,,,,34.94,,,,,,,,,,,,,,,,,,,,,,,,,,,
11200,MURTOSA,CM,,,5.05,2.08,,,,,,,,,,,73.88,,16.6,,,,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11400,OLIVEIRA DO BAIRRO,CM,,,47.78,5.1,,,,,,,,,,,37.22,,8.77,,,,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11700,SEVER DO VOUGA,CM,,,23.67,,,,,,,,,,,,45.35,,29.29,,,,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11800,VAGOS,CM,,,20.35,5.66,,,,,,,,,,,63.53,,9.15,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11900,VALE DE CAMBRA,CM,,1.51,60.7,1.33,,,,,,,,,,,14.65,,20.52,,,,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200,ALMODOVAR,CM,,2.75,,,,,,,,,,,,,21.89,,73.65,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20600,CASTRO VERDE,CM,,1.41,1.8,,,,,,,,,,,,,,60.08,,,,36.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21200,OURIQUE,CM,,,,3.31,,,,,,,,,,,37.14,,54.84,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21400,VIDIGUEIRA,CM,,,,,,,,,,,,,,,25.25,,24.21,,,,50.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30500,CELORICO DE BASTO,CM,,,1.25,0.84,,,,,,,,,,,45.79,,38.71,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.44,,,,,,,,,,,
30600,ESPOSENDE,CM,,,10.07,4.01,,,,,,,,,,,62.04,,20.25,,,,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30700,FAFE,CM,,,3.46,4.32,,,,,,,5.14,,,,26.11,,56.82,,,,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30900,POVOA DE LANHOSO,CM,,0.6,1.28,0.81,,,,,,,0.21,,,,47.51,,49.13,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31000,TERRAS DE BOURO,CM,,,,4.81,,,,,,,,,,,79.21,,13.49,,,,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31100,VIEIRA DO MINHO,CM,,,3.14,1.02,,,,,,,,,,,58.89,,36.03,,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31300,VILA VERDE,CM,,2.81,3.93,12.59,,,,,,,,,,,56.99,,21.47,,,,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40200,BRAGANCA,CM,,1.4,1.5,6.2,,,,,,,,,,,60.24,,28.32,,,,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40300,CARRAZEDA DE ANSIAES,CM,,,,,,,,,,,,,,,63.06,,5.56,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.08,,,,,,,,,,,,,,,,,,,,,
40400,FREIXO DE ESPADA A CINTA,CM,,,,,,,,,,,,,,,33.8,,65.21,,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40700,MIRANDELA,CM,,,8.19,2.48,,,,,,,,,,,33.73,,53.7,,,,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40800,MOGADOURO,CM,,,0.71,,,,,,,,,,,,50.57,,48.15,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41100,VIMIOSO,CM,,,,,,,,,,,,,,,68.11,,30.41,,,,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50100,BELMONTE,CM,,,,,,,,,,,,,,,40.87,,43.88,,,,15.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50400,FUNDAO,CM,,,,4.59,,,,,,,,,,,60.14,,29.38,,,,5.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50500,IDANHA-A-NOVA,CM,,,,,,,,,,,,,,,6.57,,56.48,,,,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,33.41,,,,,,,,,,,,,,,,,,,,,,,,,
50600,OLEIROS,CM,,,,,,,,,,,,,,,54.22,,43.75,,,,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50700,PENAMACOR,CM,,,1.53,,,,,,,,,,,,36.87,,60.27,,,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50900,SERTA,CM,,1.33,,3.58,,,,,,,,,,,44.53,,49.57,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51000,VILA DE REI,CM,,,,,,,,,,,,,,,65.36,,28.77,,,,5.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60100,ARGANIL,CM,,,,,,,,,,,,,,,62.49,,32.66,,,,4.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60200,CANTANHEDE,CM,,2.91,1.44,5.66,,,,,,,,,,,58.23,,29.33,,,,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60400,CONDEIXA-A-NOVA,CM,,5.66,,6.85,,,,,,,,,,,33.67,,47.31,,,,6.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60500,FIGUEIRA DA FOZ,CM,,2.15,1.22,,,,,,,,,,,,11.33,,40.2,,,,2.8,,,,,,,,,,,,,,,,,,,,,,42.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60600,GOIS,CM,,,2.53,,,,,,,,,,,,41.79,,19.32,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.27,,,,,,,,,,,,,,,,,,,,,,,,
60800,MIRA,CM,,,,3.7,,,,,,,,,,,61.89,,32.48,,,,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61200,PAMPILHOSA DA SERRA,CM,,,6.37,,,,,,,,,,,,63.31,,29.09,,,,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61300,PENACOVA,CM,,,1.03,1.09,,,,,,,,,,,48.03,,44.56,,,,5.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61400,PENELA,CM,,,,,,,,,,,,,,,40.38,,58.6,,,,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61500,SOURE,CM,,,,3.84,,,,,,,,,,,39.37,,47.76,,,,9.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61700,VILA NOVA DE POIARES,CM,,,,,,,,,,,,,,,31.48,,62.58,,,,5.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70300,BORBA,CM,,,0.53,,,,,,,,,,,,13.25,,34.64,,,,5.07,,,,,,,,,,,,,,,,,,,,46.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70900,PORTEL,CM,,,,,,,,,,,,,,,3.92,,57.99,,,,38.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71100,REGUENGOS DE MONSARAZ,CM,,,,5.97,,,,,,,,,,,50.45,,36.43,,,,7.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80200,ALCOUTIM,CM,,,,1.11,,,,,,,,,,,38.68,,57.06,,,,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80300,ALJEZUR,CM,,,,1.44,,,,,,,,,,,5.11,,46.05,,,,4.39,,,,,,,,,,,,,,,,,,,,,43.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80400,CASTRO MARIM,CM,,,0.83,4.86,,,,,,,,,,,58.13,,32.43,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80600,LAGOA,CM,,3.78,,6.6,,1.85,,,,,,,,,12.58,,53.2,,,,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.62,,,,,,,,,,,,,,
80900,MONCHIQUE,CM,,,13.82,1.66,,,,,,,,,,,22.47,,51.84,,,,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.93,,,,
81200,SAO BRAS DE ALPORTEL,CM,,,0.64,3.09,,,,,,,,,,,30.8,,60.62,,,,4.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81400,TAVIRA,CM,,2.45,,4.96,,,,,,,,,,,44.03,,45.13,,,,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81600,VILA REAL DE SANTO ANTONIO,CM,,1.44,1.05,3.99,,,,,,,,1.99,,,33.42,,38.22,,,,12.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.85,,,,,
90100,AGUIAR DA BEIRA,CM,,,,4.32,,,,,,,,,,,41.39,,53.92,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90200,ALMEIDA,CM,,,,,,,,,,,,,,,52.36,,44.88,,,,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90300,CELORICO DA BEIRA,CM,,,,2.59,,,,,,,,,,,58.18,,38.71,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90400,FIGUEIRA DE CASTELO RODRIGO,CM,,,2.7,,,,,0.24,,,,,,,49.37,,47.06,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90600,GOUVEIA,CM,,,,,,,,,,,,,,,53.32,,43.49,,,,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90700,GUARDA,CM,,1.66,2.79,2.79,,,,,,,,,,,72.7,,18.7,,,,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90800,MANTEIGAS,CM,,,,,,,,,,,6.91,,,,27.55,,28.94,,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,35.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91000,PINHEL,CM,,,,,,,,,,,,,,,70.65,,26.56,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91100,SABUGAL,CM,,,4.32,2.97,,,,,,,,,,,49.14,,41.97,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91200,SEIA,CM,,,,5.83,,,,,,,,,,,25.87,,45.97,,,,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.75,,,,,,,,,,,,,,,
91400,VILA NOVA DE FOZ COA,CM,,,,,,,,,,,4.51,,,,53.48,,40.23,,,,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100100,ALCOBACA,CM,,,5.5,4.99,,3.68,,,,,4.74,,,,45.4,,32.03,,,,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100200,ALVAIAZERE,CM,,,,4.66,,,,,,,,,,,42.29,,41.06,,,,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.77,,,,,,,,,
100300,ANSIAO,CM,,,1.65,5.16,,,,,,,,,,,42.24,,49.62,,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100400,BATALHA,CM,,,4.93,4.93,,3.45,,,,,,,,,36.96,,48.58,,,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100500,BOMBARRAL,CM,,,6.16,4.91,,,,,,,,,,,39.85,,42.95,,,,6.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100800,FIGUEIRO DOS VINHOS,CM,,,,1.24,,,,,,,,,,,31.83,,45.57,,,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.64,,,,,,,,,,,,,,,,,
101000,MARINHA GRANDE,CM,,3.87,0.86,3.54,,,,,,,,,,,7.2,,22.9,,,,21.51,,,,,,,,,,,,,,,,,,,,,,,40.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101100,NAZARE,CM,,5.4,1.78,,,,,,,,,,,,29.91,,47.72,,,,15.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101300,PEDROGAO GRANDE,CM,,,12.09,1.67,,,,,,,,,,,54.83,,29.39,,,,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101400,PENICHE,CM,,0.98,,3.28,,,,1.35,,,,,,,58.33,,25.39,,,,10.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101500,POMBAL,CM,,3.11,,3.92,,3.45,,,,,,,,,65.22,,22.4,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101600,PORTO DE MOS,CM,,,,3.07,,,,,,,,,,,57.97,,37.22,,,,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110400,CADAVAL,CM,,,2.55,,,,,,,,,,,,55.05,,36.89,,,,5.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110700,LOURES,CM,,4.04,1.59,8.83,,3.49,,,,,,2.33,1.6,,14.66,,32.97,,,,30.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110900,MAFRA,CM,,2.82,1.05,5.85,,2.74,,,,,,3.23,,,59.98,,19.75,,,,4.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120200,ARRONCHES,CM,,,,1.57,,,,,,,,,,,54.46,,41.34,,,,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120300,AVIS,CM,,,,,,,,,,,,,,,6.52,,21.5,,,,57.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.55,,,,,,,,,,,,,
120400,CAMPO MAIOR,CM,,2.23,,12.06,,,,,,,,,,,,,54.55,,,,31.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120500,CASTELO DE VIDE,CM,,,1.25,,,,,,,,,,,,52.18,,43.61,,,,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120600,CRATO,CM,,,,0.89,,,,,,,19.62,,,,18.86,,44.98,,,,15.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120800,FRONTEIRA,CM,,,,8.96,,,,,,,,,,,61.72,,23.56,,,,5.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120900,GAVIAO,CM,,,,3.85,,,,,,,,,,,21.17,,49.34,,,,25.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121100,MONFORTE,CM,,,,7.34,,,,,,,,,,,5.39,,23.06,,,,64.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121200,NISA,CM,,,,4.26,,,,,,,,,,,14.91,,56.23,,,,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
